"prior","prior_sd","effect","lnBF10"
"N(0, 0.25)",0.25,"Regular plural",3.97342599606457
"N(0, 0.25)",0.25,"Irregular plural",-0.346869355911301
"N(0, 0.25)",0.25,"Regularity × Plurality",3.36572256594982
"N(0, 0.5)",0.5,"Regular plural",5.97419272308275
"N(0, 0.5)",0.5,"Irregular plural",-0.615291393163008
"N(0, 0.5)",0.5,"Regularity × Plurality",7.66555246168116
"N(0, 1)",1,"Regular plural",6.89482486938563
"N(0, 1)",1,"Irregular plural",-1.14572184381082
"N(0, 1)",1,"Regularity × Plurality",6.41942762905609
"N(0, 2)",2,"Regular plural",7.21618087212657
"N(0, 2)",2,"Irregular plural",-1.7764881850331
"N(0, 2)",2,"Regularity × Plurality",6.46750760933722
"N(0, 4)",4,"Regular plural",5.77215750597038
"N(0, 4)",4,"Irregular plural",-2.47547223590576
"N(0, 4)",4,"Regularity × Plurality",23.8971455925582
